TIME,BTCBUSD
2021-03-03 00:17:25,48188.77
2021-03-03 00:17:26,48181.81
2021-03-03 00:17:27,48179.38
2021-03-03 00:17:28,48168.99
2021-03-03 00:17:29,48160.51
2021-03-03 00:17:30,48159.73
2021-03-03 00:17:31,48162.93
2021-03-03 00:17:32,48168.18
2021-03-03 00:17:33,48168.94
2021-03-03 00:17:34,48159.72
2021-03-03 00:17:35,48159.72
2021-03-03 00:17:36,48152.47
2021-03-03 00:17:37,48150.02
2021-03-03 00:17:38,48147.59
2021-03-03 00:17:39,48147.59
2021-03-03 00:17:40,48147.59
2021-03-03 00:17:41,48147.59
2021-03-03 00:17:42,48147.59
2021-03-03 00:17:43,48147.59
2021-03-03 00:17:44,48148.44
2021-03-03 00:17:45,48143.51
2021-03-03 00:17:46,48145.52
2021-03-03 00:17:47,48153.79
2021-03-03 00:17:48,48156.36
2021-03-03 00:17:49,48129.41
2021-03-03 00:17:50,48128.4
2021-03-03 00:17:51,48128.76
2021-03-03 00:17:52,48128.76
2021-03-03 00:17:53,48125.48
2021-03-03 00:17:54,48125.3
2021-03-03 00:17:55,48125.16
2021-03-03 00:17:56,48125.16
2021-03-03 00:17:57,48136.48
2021-03-03 00:17:58,48135.17
2021-03-03 00:17:59,48133.03
2021-03-03 00:18:00,48129.73
2021-03-03 00:18:01,48123.52
2021-03-03 00:18:02,48129.74
2021-03-03 00:18:03,48126.63
2021-03-03 00:18:04,48122.86
2021-03-03 00:18:05,48122.86
2021-03-03 00:18:06,48122.85
2021-03-03 00:18:07,48122.85
2021-03-03 00:18:08,48122.85
2021-03-03 00:18:09,48122.86
2021-03-03 00:18:10,48122.86
2021-03-03 00:18:11,48128.54
2021-03-03 00:18:12,48130.97
2021-03-03 00:18:13,48140.0
2021-03-03 00:18:14,48156.75
2021-03-03 00:18:15,48156.76
2021-03-03 00:18:16,48160.79
2021-03-03 00:18:17,48148.17
2021-03-03 00:18:18,48148.17
2021-03-03 00:18:19,48155.28
2021-03-03 00:18:20,48159.96
2021-03-03 00:18:21,48159.96
2021-03-03 00:18:22,48155.8
2021-03-03 00:18:23,48155.8
2021-03-03 00:18:24,48155.8
